
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;7;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;35;26;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;43;187;538;318;66;462;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;43;187;538;318;66;462;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;15;13;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;860;879;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;7306;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;4645;12547;19630;10559,2;7199;16112;4142;2918,4;5936;5382;3024,4;56230;22950;25892;19043;25521;29318;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;4645;12547;15754;7432,2;7199;6458;4142;2214,9;2565;1389;1807,5;30530;22950;23883;17037;25521;29318;36196;37080;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;40632;44386;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Сыктывдинского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;13;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;879;;;;;;;;;;;;;;;;;;
Выльгорт;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;484;491;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2837;6931;14349;7750;5374;4852;2502;2800;1707;1200;2037,1;49700;22000;9910;1074;5640;17300;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;2837;6931;10726;4623;5374;4354;2502;2800;1707;1200;1039,1;24000;22000;9910;1074;3340;17300;;;
Зеленец;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;129;59;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;713;1889;1965;1844;598;9014;711;598;;58;;1966;800;409;1300;1120;117;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;713;1889;1965;1844;598;687;711;598;;58;;1966;800;409;1300;1120;117;;;
Лэзым;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;7;7;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;111;797;425;18;14;135;275;491;115;2;;926;;950;1000;300;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;111;797;425;18;14;135;275;491;115;2;;926;;950;1000;300;;;;
Мандач;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;24;107;;;;;;;;;;;;;;;;;;
Нювчим;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;5;7;;;;;;;;;;;;;;;;;;
